"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5970","SHOP_14 Verify body visible","chromium","2026-06-01","passed","2026-06-01","PRODUCT CATALOG TESTS","productCatalog\productCatalog.spec.js","",""
"","5463","SHOP_11 Verify shop URL","chromium","2026-06-01","passed","2026-06-01","PRODUCT CATALOG TESTS","productCatalog\productCatalog.spec.js","",""
"","8972","SHOP_09 Verify first product clickable","chromium","2026-06-01","passed","2026-06-01","PRODUCT CATALOG TESTS","productCatalog\productCatalog.spec.js","",""
"","4163","SEARCH_12 Verify sort dropdown visible","chromium","2026-06-01","passed","2026-06-01","SEARCH FILTER TESTS","searchFilter\searchFilter.spec.js","",""
"","3445","HOME_10 Verify product cards visible","chromium","2026-06-01","passed","2026-06-01","","homepage\homepage.spec.js","",""
"","5572","PDP_12 Verify product page refresh works","chromium","2026-06-01","passed","2026-06-01","PRODUCT DETAILS PAGE TESTS","productDetails\productDetails.spec.js","",""
"","5882","HOME_15 Verify homepage loads within timeout","chromium","2026-06-01","passed","2026-06-01","","homepage\homepage.spec.js","",""
"","4912","HOME_02 Verify page title exists","chromium","2026-06-01","passed","2026-06-01","","homepage\homepage.spec.js","",""
"","4251","HOME_09 Verify clickable links exist","chromium","2026-06-01","passed","2026-06-01","","homepage\homepage.spec.js","",""
"","4988","PDP_02 Verify page title exists","chromium","2026-06-01","passed","2026-06-01","PRODUCT DETAILS PAGE TESTS","productDetails\productDetails.spec.js","",""
"","4621","HOME_05 Verify homepage scroll works","chromium","2026-06-01","passed","2026-06-01","","homepage\homepage.spec.js","",""
"","3233","HOME_03 Verify logo is visible","chromium","2026-06-01","passed","2026-06-01","","homepage\homepage.spec.js","",""
"","4059","SEARCH_13 Verify sort dropdown interaction","chromium","2026-06-01","passed","2026-06-01","SEARCH FILTER TESTS","searchFilter\searchFilter.spec.js","",""
"","8256","SEARCH_01 Verify shop page loads","chromium","2026-06-01","passed","2026-06-01","SEARCH FILTER TESTS","searchFilter\searchFilter.spec.js","",""
"","4116","HOME_08 Verify homepage refresh works","chromium","2026-06-01","passed","2026-06-01","","homepage\homepage.spec.js","",""
"","5307","PDP_07 Verify Buy button exists","chromium","2026-06-01","passed","2026-06-01","PRODUCT DETAILS PAGE TESTS","productDetails\productDetails.spec.js","",""
"","5417","PDP_09 Verify body visible","chromium","2026-06-01","passed","2026-06-01","PRODUCT DETAILS PAGE TESTS","productDetails\productDetails.spec.js","",""
"","4136","SEARCH_14 Verify product cards visible","chromium","2026-06-01","passed","2026-06-01","SEARCH FILTER TESTS","searchFilter\searchFilter.spec.js","",""
"","5290","PDP_15 Verify no crash after load","chromium","2026-06-01","passed","2026-06-01","PRODUCT DETAILS PAGE TESTS","productDetails\productDetails.spec.js","",""
"","5755","PDP_04 Verify product image visible","chromium","2026-06-01","passed","2026-06-01","PRODUCT DETAILS PAGE TESTS","productDetails\productDetails.spec.js","",""
"","5068","SEARCH_10 Verify Puma filter clickable","chromium","2026-06-01","passed","2026-06-01","SEARCH FILTER TESTS","searchFilter\searchFilter.spec.js","",""
